  (Euclidean SMT:  100 points,  length = 101.7416092107233,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 106.88407465132160,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 103.94498842735424,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 106.69991597774676,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 109.4831267374286,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 109.7765097507027,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 117.28277061696668,  0.30 seconds)
  (Euclidean SMT:  100 points,  length = 107.1581679965037,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 105.56136571743984,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 118.4248915122521,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 109.1823126607032,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 106.6005629235543,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 102.2977444856211,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 112.99264671812564,  0.41 seconds)
  (Euclidean SMT:  100 points,  length = 102.5964080196984,  0.30 seconds)
  (Euclidean SMT:  100 points,  length = 100.26072390625820,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 106.4397205600031,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 110.5625355211332,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 104.07669334057510,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 110.21999914844250,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 108.2455111707150,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 111.7241384784077,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 103.8280173654038,  0.10 seconds)
  (Euclidean SMT:  100 points,  length = 106.6889966889867,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 108.7967856665520,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 105.2663790856526,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 111.0008164983529,  0.12 seconds)
  (Euclidean SMT:  100 points,  length = 105.8658405865379,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 101.9066344259544,  0.11 seconds)
  (Euclidean SMT:  100 points,  length = 105.80214906445244,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 112.8994971673612,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 113.4059513897858,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 113.1976836978182,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 100.7391661280973,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 111.5106401689808,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 109.1302983958998,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 104.5302671511965,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 106.3270806799098,  0.12 seconds)
  (Euclidean SMT:  100 points,  length = 110.40940634970832,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 98.95872350334366,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 113.6550815339850,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 111.0463847749834,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 108.67081385408034,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 116.0786303653275,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 106.5756767813563,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 111.0575400869968,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 112.4125384802560,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 108.8264445521230,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 104.8914326657296,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 103.1069422951463,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 112.6692025592323,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 103.45755676551552,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 111.2774765776572,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 105.5527318370349,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 110.5641067354215,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 107.87123980219524,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 107.0405446418482,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 114.63395098938954,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 109.3774234754807,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 102.0072996430269,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 103.5635873162407,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 107.31393204585182,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 108.5938619338561,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 112.2230950703582,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 117.53070806745090,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 113.62940028709798,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 105.9144198918117,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 106.4718084245897,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 105.09061860265410,  0.11 seconds)
  (Euclidean SMT:  100 points,  length = 106.0778417842632,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 109.6341831078962,  0.21 seconds)
