  (Euclidean SMT:  100 points,  length = 13529.55751117803,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 13181.60169514603,  0.13 seconds)
  (Euclidean SMT:  100 points,  length = 12952.84132556571,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 13014.62737325012,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 13212.05846289922,  0.43 seconds)
  (Euclidean SMT:  100 points,  length = 13122.17633986661,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 13243.19491363728,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 12865.85784698863,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 13029.24105847199,  0.37 seconds)
  (Euclidean SMT:  100 points,  length = 12860.35417802035,  0.52 seconds)
  (Euclidean SMT:  100 points,  length = 13262.52429358352,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 13350.875180329110,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 12578.46789738876,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 13015.26783358159,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 13135.50095054559,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 12669.30288267352,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 12283.07416852462,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 12574.59078164187,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 13133.07660969494,  0.37 seconds)
  (Euclidean SMT:  100 points,  length = 13116.36580124906,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 12230.805236587114,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 13094.92518798510,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 13080.44402508171,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 12562.73524482003,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 13101.66725335501,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 12956.93111969174,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 13508.92436381796,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 13163.98400867929,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 12669.296494764878,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 11876.67455685041,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 13049.81512896343,  0.44 seconds)
  (Euclidean SMT:  100 points,  length = 12763.145094923782,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 12986.78810523161,  0.38 seconds)
  (Euclidean SMT:  100 points,  length = 12367.24928534935,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 12976.74476542178,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 13939.64593692662,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 13391.86979424671,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 12455.25509745469,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 13144.68765853757,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 13896.60465286280,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 13231.92153928134,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 13873.51036402339,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 13284.96229419400,  0.46 seconds)
  (Euclidean SMT:  100 points,  length = 13702.17768851020,  0.42 seconds)
  (Euclidean SMT:  100 points,  length = 13321.07818787560,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 13002.50352865763,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 13128.46622822971,  0.42 seconds)
  (Euclidean SMT:  100 points,  length = 12584.94536271420,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 12407.19415949503,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 12860.06868852186,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 12384.17801841668,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 12844.82043640861,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 12831.19482630375,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 13077.04087525933,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 13481.26573447349,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 13657.61195187898,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 12561.95127272783,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 13158.847244272704,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 13081.37882055916,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 12971.15692891261,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 12442.14458415551,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 12824.97790079540,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 12891.70691771024,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 12674.31241875919,  0.13 seconds)
  (Euclidean SMT:  100 points,  length = 13755.89049654120,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 12970.97499882081,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 13145.43206851797,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 12424.87725000942,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 12929.058423805850,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 13292.85610307809,  0.51 seconds)
  (Euclidean SMT:  100 points,  length = 13169.25459665345,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 14058.40615126653,  0.45 seconds)
  (Euclidean SMT:  100 points,  length = 12313.47038193153,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 12575.06488573826,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 13214.15401843254,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 12490.99953895377,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 13050.20981820454,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 13578.353541795318,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 12914.39051984390,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 13123.00409650483,  0.50 seconds)
  (Euclidean SMT:  100 points,  length = 13114.64764724202,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 12878.31629204060,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 13280.26810764740,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 12767.45497844950,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 13488.98824918150,  0.45 seconds)
  (Euclidean SMT:  100 points,  length = 13076.51985074710,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 12699.48899523527,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 13322.42954151215,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 12971.03592811786,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 13294.38642636179,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 12947.27422353156,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 13388.838093154924,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 12958.76855246413,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 13041.11030511245,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 13179.35652063874,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 12794.58037417895,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 13507.45881731533,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 12909.595632241136,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 13182.04087708523,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 12980.82691638168,  0.26 seconds)
