  (Euclidean SMT:  100 points,  length = 120.7836762690099,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 122.1299769604319,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 124.6864382970354,  0.43 seconds)
  (Euclidean SMT:  100 points,  length = 124.1138837857602,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 113.5945783734138,  0.30 seconds)
  (Euclidean SMT:  100 points,  length = 123.9447934649744,  0.34 seconds)
  (Euclidean SMT:  100 points,  length = 124.83909963054438,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 121.6169484173053,  0.43 seconds)
  (Euclidean SMT:  100 points,  length = 119.15283590690290,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 118.77576500944376,  0.45 seconds)
  (Euclidean SMT:  100 points,  length = 130.03420728039916,  0.40 seconds)
  (Euclidean SMT:  100 points,  length = 121.27374574023666,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 114.1470655583121,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 115.1548963589817,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 115.46947342210596,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 115.8620922483431,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 120.4934029848444,  0.48 seconds)
  (Euclidean SMT:  100 points,  length = 123.79846251922958,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 115.90808171393652,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 115.0652776186985,  0.49 seconds)
  (Euclidean SMT:  100 points,  length = 122.7034082793905,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 123.52009346795580,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 117.2820914373657,  0.46 seconds)
  (Euclidean SMT:  100 points,  length = 114.0088909203937,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 119.11832770725656,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 125.1013803686353,  0.54 seconds)
  (Euclidean SMT:  100 points,  length = 118.9773059111059,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 120.6544184274444,  0.42 seconds)
  (Euclidean SMT:  100 points,  length = 127.0894256613569,  0.80 seconds)
  (Euclidean SMT:  100 points,  length = 117.4613897056538,  0.46 seconds)
  (Euclidean SMT:  100 points,  length = 112.5568058144170,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 120.3039360292084,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 124.9135372503761,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 113.2074536565359,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 126.24009803995880,  0.55 seconds)
  (Euclidean SMT:  100 points,  length = 132.4616186397990,  0.37 seconds)
  (Euclidean SMT:  100 points,  length = 123.6692141486812,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 119.7730559054738,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 105.3845087343277,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 114.0082487754824,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 126.07286254414610,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 119.4918039503544,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 117.7585219823064,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 119.32993827397550,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 121.5975757320118,  0.37 seconds)
  (Euclidean SMT:  100 points,  length = 130.47349247110334,  0.75 seconds)
  (Euclidean SMT:  100 points,  length = 124.8373387476209,  0.63 seconds)
  (Euclidean SMT:  100 points,  length = 121.8881968106910,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 111.6318577765119,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 117.78581520776650,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 126.22146584391558,  0.47 seconds)
  (Euclidean SMT:  100 points,  length = 117.5401745942985,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 122.7805509861038,  0.47 seconds)
  (Euclidean SMT:  100 points,  length = 124.3870097401807,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 131.1636534180873,  0.56 seconds)
  (Euclidean SMT:  100 points,  length = 125.3942712578736,  0.31 seconds)
