  (Euclidean SMT:  100 points,  length = 866.7868284781588,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 855.5698285623282,  0.51 seconds)
  (Euclidean SMT:  100 points,  length = 850.0675521207963,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 895.9942547979097,  0.45 seconds)
  (Euclidean SMT:  100 points,  length = 803.0343060164201,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 872.0538077100651,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 764.8564919658172,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 859.9581272357921,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 808.1374780667607,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 870.0428776416571,  0.34 seconds)
  (Euclidean SMT:  100 points,  length = 805.1697645181115,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 905.1337372476152,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 868.9249135842588,  0.40 seconds)
  (Euclidean SMT:  100 points,  length = 837.1545208593903,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 803.2660332318815,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 822.2943689524076,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 858.7318809341267,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 918.1922952575766,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 857.5394134548585,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 822.8505790604479,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 859.1761498818948,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 891.6561342372561,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 845.7672218369431,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 838.2570845686972,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 870.1850279571063,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 867.5277657390787,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 917.6746580478380,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 879.2469290164010,  0.49 seconds)
  (Euclidean SMT:  100 points,  length = 799.1918453207483,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 841.2899384949604,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 811.2058806580350,  0.38 seconds)
  (Euclidean SMT:  100 points,  length = 857.0300228480127,  0.47 seconds)
  (Euclidean SMT:  100 points,  length = 812.2082210008517,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 890.0205148061573,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 876.6799889501623,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 784.1886245674275,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 805.1907528308710,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 787.3959745322807,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 809.2503529091847,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 812.5911401334576,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 846.7655803733012,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 818.1589958907384,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 870.2105016040426,  0.34 seconds)
  (Euclidean SMT:  100 points,  length = 811.6103438503418,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 863.8440481582805,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 827.9355981958460,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 813.2783257734258,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 882.6122599054345,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 811.3442554850921,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 856.5067271076252,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 868.5459178395945,  0.62 seconds)
  (Euclidean SMT:  100 points,  length = 826.8837943735884,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 924.9835373980930,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 892.5576977595917,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 844.8844859602747,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 871.5979931185580,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 888.7756248336922,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 832.0308441509707,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 861.2308604812482,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 882.3653530934291,  0.44 seconds)
  (Euclidean SMT:  100 points,  length = 790.3091460331080,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 890.9828688567662,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 887.3131587015427,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 893.4562073849760,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 918.2114003381122,  0.47 seconds)
  (Euclidean SMT:  100 points,  length = 869.1805205598626,  0.30 seconds)
  (Euclidean SMT:  100 points,  length = 821.6670070888892,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 831.0743344018402,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 778.2495184155105,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 858.8371706415158,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 881.5466086933150,  0.57 seconds)
  (Euclidean SMT:  100 points,  length = 855.1048155912420,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 827.3358146302481,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 869.9044573133750,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 843.8472493538448,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 884.1744850977622,  0.40 seconds)
  (Euclidean SMT:  100 points,  length = 893.8768788509009,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 894.2586176841977,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 868.6995124447625,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 849.3194704966641,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 888.5150381215390,  0.34 seconds)
  (Euclidean SMT:  100 points,  length = 879.5951617948827,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 893.4674408976471,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 856.3720806659247,  0.45 seconds)
  (Euclidean SMT:  100 points,  length = 852.9100946862350,  0.19 seconds)
