  (Euclidean SMT:  100 points,  length = 1240.304485465550,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 1237.0519955746014,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 1277.4736182115998,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 1264.679482817025,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 1348.4585857938610,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 1324.259110520661,  0.68 seconds)
  (Euclidean SMT:  100 points,  length = 1302.241360665075,  0.37 seconds)
  (Euclidean SMT:  100 points,  length = 1294.837374412189,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 1331.061964804198,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 1319.8897569796896,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 1235.798797521757,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 1319.725346250413,  0.42 seconds)
  (Euclidean SMT:  100 points,  length = 1339.090393607469,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 1239.601850252319,  0.30 seconds)
  (Euclidean SMT:  100 points,  length = 1312.9043898495794,  0.45 seconds)
  (Euclidean SMT:  100 points,  length = 1288.275174863969,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 1305.303144323867,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 1324.410676224724,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 1307.637710294237,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 1218.585799381675,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 1329.877657610120,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 1323.757692496994,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 1363.773611772209,  0.44 seconds)
  (Euclidean SMT:  100 points,  length = 1321.296264318455,  0.57 seconds)
  (Euclidean SMT:  100 points,  length = 1351.060947997203,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 1369.596185983641,  0.43 seconds)
  (Euclidean SMT:  100 points,  length = 1268.628964611006,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 1281.202123743324,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 1249.432665038238,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 1327.147951088611,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 1338.173176194902,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 1362.3313821475862,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 1355.238938476340,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 1229.114856065161,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 1281.120456971608,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 1323.759713352000,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 1333.7101498955596,  0.44 seconds)
  (Euclidean SMT:  100 points,  length = 1350.023565131368,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 1385.234051136189,  0.41 seconds)
  (Euclidean SMT:  100 points,  length = 1317.476903363742,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 1315.481817190177,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 1352.040720181677,  0.30 seconds)
  (Euclidean SMT:  100 points,  length = 1276.304874646828,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 1371.384350889814,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 1298.297752184746,  0.38 seconds)
  (Euclidean SMT:  100 points,  length = 1273.654457729740,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 1249.954448852539,  0.13 seconds)
  (Euclidean SMT:  100 points,  length = 1297.046716278167,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 1296.5752986825380,  0.45 seconds)
  (Euclidean SMT:  100 points,  length = 1299.825362791608,  0.63 seconds)
  (Euclidean SMT:  100 points,  length = 1321.127407395280,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 1295.590127542054,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 1192.982092959525,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 1253.904022237359,  0.37 seconds)
  (Euclidean SMT:  100 points,  length = 1250.2671407203526,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 1285.647847951555,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 1342.819871467512,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 1357.6055493998540,  0.66 seconds)
  (Euclidean SMT:  100 points,  length = 1348.936752667993,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 1313.929832598981,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 1256.7488941546026,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 1345.944582194294,  0.34 seconds)
  (Euclidean SMT:  100 points,  length = 1294.7522819851298,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 1336.929484276146,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 1310.124629860987,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 1285.0445204396116,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 1293.712466246813,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 1257.363711238502,  0.34 seconds)
  (Euclidean SMT:  100 points,  length = 1293.127987323245,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 1333.3960025111100,  0.43 seconds)
  (Euclidean SMT:  100 points,  length = 1388.885426250024,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 1341.023421527269,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 1274.456845573887,  0.41 seconds)
  (Euclidean SMT:  100 points,  length = 1359.702775181866,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 1291.481937264935,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 1268.4414743692392,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 1258.716824726573,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 1229.779084237898,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 1335.194717142038,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 1284.406619137354,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 1320.221397994202,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 1287.986611585935,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 1331.319838259086,  0.44 seconds)
  (Euclidean SMT:  100 points,  length = 1320.860217135283,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 1318.393488748135,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 1320.279413647125,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 1246.0319906775448,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 1239.555098095540,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 1345.008273364101,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 1323.679379292508,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 1269.928081054752,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 1327.398079900650,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 1295.8148810562674,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 1279.004775364064,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 1383.067135364543,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 1242.5808329701164,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 1305.596759194346,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 1360.897776464488,  0.38 seconds)
  (Euclidean SMT:  100 points,  length = 1325.0535239312720,  0.34 seconds)
  (Euclidean SMT:  100 points,  length = 1322.208192245737,  0.20 seconds)
