  (Euclidean SMT:  100 points,  length = 57506.40100239032,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 59460.89264778309,  0.45 seconds)
  (Euclidean SMT:  100 points,  length = 66256.221932093110,  0.46 seconds)
  (Euclidean SMT:  100 points,  length = 63093.79315950655,  0.30 seconds)
  (Euclidean SMT:  100 points,  length = 64243.65760124582,  0.52 seconds)
  (Euclidean SMT:  100 points,  length = 61615.41024799856,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 62962.761633941820,  0.46 seconds)
  (Euclidean SMT:  100 points,  length = 67077.75797330124,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 61325.52184000150(,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 60776.49409091299,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 59235.955512316510,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 60013.635977101590,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 57915.833994341990,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 59901.440811799950,  0.34 seconds)
  (Euclidean SMT:  100 points,  length = 58724.30708272968,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 60715.076648225860,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 55831.323316583140,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 59339.13422441381,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 63790.733146035530,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 60443.057705816930,  0.14 seconds)
  (Euclidean SMT:  100 points,  length = 58059.251592100390,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 59777.916773240920,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 58726.98586121208,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 61875.72124008923,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 60258.673684473420,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 60676.84424710923,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 60821.61840962776,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 61835.104727383500,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 58721.35034012600,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 62221.27758009604,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 58242.27055495494,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 59798.843788342990,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 63375.253269561550,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 58059.856813507450,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 59508.96588746843,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 57759.253307108480,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 59163.28132751514,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 58166.276460394030,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 57571.77181396963,  0.17 seconds)
  (Euclidean SMT:  100 points,  length = 64308.390606616440,  0.23 seconds)
